date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_EMA,exit0_EMA
2023-03-06,152.29415893554688,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[147.0797146609955],[145.57138078148984],[147.0797146609955],[145.57138078148984],['EMA cross_above None'],['EMA cross_below None'],147.0797146609955,147.0797146609955
2023-03-07,150.08644104003906,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.02779543818664],[146.00510840433225],[148.02779543818664],[146.00510840433225],['EMA cross_above None'],['EMA cross_below None'],148.02779543818664,148.02779543818664
2023-03-08,151.34373474121094,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.40209463852344],[146.26842018728107],[148.40209463852344],[146.26842018728107],['EMA cross_above None'],['EMA cross_below None'],148.40209463852344,148.40209463852344
2023-03-09,149.0865020751953,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.93693829355752],[146.5958598359217],[148.93693829355752],[146.5958598359217],['EMA cross_above None'],['EMA cross_below None'],148.93693829355752,148.93693829355752
2023-03-10,147.0173797607422,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.96413170840074],[146.75654643200386],[148.96413170840074],[146.75654643200386],['EMA cross_above None'],['EMA cross_below None'],148.96413170840074,148.96413170840074
2023-03-13,148.96771240234375,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.61017680882645],[146.77337438869665],[148.61017680882645],[146.77337438869665],['EMA cross_above None'],['EMA cross_below None'],148.61017680882645,148.61017680882645
2023-03-14,151.06655883789062,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.67518328037505],[146.9149445831255],[148.67518328037505],[146.9149445831255],['EMA cross_above None'],['EMA cross_below None'],148.67518328037505,148.67518328037505
2023-03-15,151.46255493164062,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.10997883628696],[147.18279066407808],[149.10997883628696],[147.18279066407808],['EMA cross_above None'],['EMA cross_below None'],149.10997883628696,149.10997883628696
2023-03-16,154.2939910888672,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.53771994453305],[147.4589044877918],[149.53771994453305],[147.4589044877918],['EMA cross_above None'],['EMA cross_below None'],149.53771994453305,149.53771994453305
2023-03-17,153.45248413085938,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.40249651623017],[147.89987781689345],[150.40249651623017],[147.89987781689345],['EMA cross_above None'],['EMA cross_below None'],150.40249651623017,150.40249651623017
2023-03-20,155.82847595214844,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.95703971889003],[148.2581104823106],[150.95703971889003],[148.2581104823106],['EMA cross_above None'],['EMA cross_below None'],150.95703971889003,150.95703971889003
2023-03-21,157.6897430419922,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.8427553976643],[148.746521157784],[151.8427553976643],[148.746521157784],['EMA cross_above None'],['EMA cross_below None'],151.8427553976643,151.8427553976643
2023-03-22,156.25424194335938,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.90584406026935],[149.32350321482969],[152.90584406026935],[149.32350321482969],['EMA cross_above None'],['EMA cross_below None'],152.90584406026935,152.90584406026935
2023-03-23,157.34323120117188,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.51464367537662],[149.7706476489284],[153.51464367537662],[149.7706476489284],['EMA cross_above None'],['EMA cross_below None'],153.51464367537662,153.51464367537662
2023-03-24,158.6500701904297,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[154.21075049824847],[150.2592014264925],[154.21075049824847],[150.2592014264925],['EMA cross_above None'],['EMA cross_below None'],154.21075049824847,154.21075049824847
2023-03-27,156.69972229003906,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[155.0178995331905],[150.80054779835945],[155.0178995331905],[150.80054779835945],['EMA cross_above None'],['EMA cross_below None'],155.0178995331905,155.0178995331905
2023-03-28,156.07598876953125,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[155.32368548898114],[151.18113970104847],[155.32368548898114],[151.18113970104847],['EMA cross_above None'],['EMA cross_below None'],155.32368548898114,155.32368548898114
2023-03-29,159.1648712158203,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[155.4604679036266],[151.49693641514415],[155.4604679036266],[151.49693641514415],['EMA cross_above None'],['EMA cross_below None'],155.4604679036266,155.4604679036266
2023-03-30,160.73899841308594,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.1339957785709],[151.99164188615552],[156.1339957785709],[151.99164188615552],['EMA cross_above None'],['EMA cross_below None'],156.1339957785709,156.1339957785709
2023-03-31,163.2536163330078,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.97126898484635],[152.55598746853815],[156.97126898484635],[152.55598746853815],['EMA cross_above None'],['EMA cross_below None'],156.97126898484635,156.97126898484635
2023-04-03,164.51095581054688,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[158.11351395723932],[153.2461570726975],[158.11351395723932],[153.2461570726975],['EMA cross_above None'],['EMA cross_below None'],158.11351395723932,158.11351395723932
2023-04-04,163.97634887695312,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[159.27668520329522],[153.97291828159103],[159.27668520329522],[153.97291828159103],['EMA cross_above None'],['EMA cross_below None'],159.27668520329522,159.27668520329522
2023-04-05,162.125,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.13116950759664],[154.6183009006467],[160.13116950759664],[154.6183009006467],['EMA cross_above None'],['EMA cross_below None'],160.13116950759664,160.13116950759664
2023-04-06,163.01602172851562,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.49368414257904],[155.10260406834692],[160.49368414257904],[155.10260406834692],['EMA cross_above None'],['EMA cross_below None'],160.49368414257904,160.49368414257904
2023-04-10,160.41229248046875,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.95229097638568],[155.6131471431965],[160.95229097638568],[155.6131471431965],['EMA cross_above None'],['EMA cross_below None'],160.95229097638568,160.95229097638568
2023-04-11,159.19456481933594,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.8541094316735],[155.92276942302053],[160.8541094316735],[155.92276942302053],['EMA cross_above None'],['EMA cross_below None'],160.8541094316735,160.8541094316735
2023-04-12,158.50155639648438,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.5523740476121],[156.13385299697637],[160.5523740476121],[156.13385299697637],['EMA cross_above None'],['EMA cross_below None'],160.5523740476121,160.5523740476121
2023-04-13,163.90701293945312,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.17949811104342],[156.28660805500914],[160.17949811104342],[156.28660805500914],['EMA cross_above None'],['EMA cross_below None'],160.17949811104342,160.17949811104342
2023-04-14,163.560546875,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.85722807984516],[156.778247079812],[160.85722807984516],[156.778247079812],['EMA cross_above None'],['EMA cross_below None'],160.85722807984516,160.85722807984516
