date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_STOCH,exit0_STOCH
2023-06-28,187.61965942382812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.4340127493095],[nan],[72.4340127493095],[187.61965942382812],['STOCH cross_above None'],['STOCH cross_below None'],72.4340127493095,72.4340127493095
2023-06-29,187.95672607421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[74.42336902771403],[nan],[74.42336902771403],[187.95672607421875],['STOCH cross_above None'],['STOCH cross_below None'],74.42336902771403,74.42336902771403
2023-06-30,192.29901123046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[80.55567320468766],[nan],[80.55567320468766],[192.29901123046875],['STOCH cross_above None'],['STOCH cross_below None'],80.55567320468766,80.55567320468766
2023-07-03,190.80201721191406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[81.0464602907327],[nan],[81.0464602907327],[190.80201721191406],['STOCH cross_above None'],['STOCH cross_below None'],81.0464602907327,81.0464602907327
2023-07-05,189.6817626953125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.31725194562489],[nan],[77.31725194562489],[189.6817626953125],['STOCH cross_above None'],['STOCH cross_below None'],77.31725194562489,77.31725194562489
2023-07-06,190.1575927734375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.94302806701582],[nan],[71.94302806701582],[190.1575927734375],['STOCH cross_above None'],['STOCH cross_below None'],71.94302806701582,71.94302806701582
2023-07-07,189.037353515625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.20643620741701],[nan],[65.20643620741701],[189.037353515625],['STOCH cross_above None'],['STOCH cross_below None'],65.20643620741701,65.20643620741701
2023-07-10,186.9851837158203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.78755254437052],[nan],[59.78755254437052],[186.9851837158203],['STOCH cross_above None'],['STOCH cross_below None'],59.78755254437052,59.78755254437052
2023-07-11,186.45974731445312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[51.61239679355803],[nan],[51.61239679355803],[186.45974731445312],['STOCH cross_above None'],['STOCH cross_below None'],51.61239679355803,51.61239679355803
2023-07-12,188.1352081298828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[41.24557411678043],[nan],[41.24557411678043],[188.1352081298828],['STOCH cross_above None'],['STOCH cross_below None'],41.24557411678043,41.24557411678043
2023-07-13,188.8985595703125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[36.93932655479312],[nan],[36.93932655479312],[188.8985595703125],['STOCH cross_above None'],['STOCH cross_below None'],36.93932655479312,36.93932655479312
