date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ZLEMA,exit0_ZLEMA
2023-02-06,149.98611450195312,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.87278091811453],[144.37329845509106],[148.87278091811453],[144.37329845509106],['ZLEMA cross_above None'],['ZLEMA cross_below None'],148.87278091811453,148.87278091811453
2023-02-07,152.87257385253906,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.41238282948717],[145.74241694248943],[150.41238282948717],[145.74241694248943],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.41238282948717,150.41238282948717
2023-02-08,150.17393493652344,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.5167892317608],[147.4422066303606],[152.5167892317608],[147.4422066303606],['ZLEMA cross_above None'],['ZLEMA cross_below None'],152.5167892317608,152.5167892317608
2023-02-09,149.13597106933594,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.28851691760542],[148.6802925149694],[152.28851691760542],[148.6802925149694],['ZLEMA cross_above None'],['ZLEMA cross_below None'],152.28851691760542,152.28851691760542
2023-02-10,149.50230407714844,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.06290533226664],[149.53876119186404],[151.06290533226664],[149.53876119186404],['ZLEMA cross_above None'],['ZLEMA cross_below None'],151.06290533226664,151.06290533226664
2023-02-13,152.31394958496094,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.6911941177352],[150.18248101542324],[150.6911941177352],[150.18248101542324],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.6911941177352,150.6911941177352
2023-02-14,151.67044067382812,40,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -40, 'order_price': None, 'order_valid': None, 'order_status': 1}",[150.8846725176711],[151.05690406010612],[150.8846725176711],[151.05690406010612],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.8846725176711,150.8846725176711
2023-02-15,153.7791748046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.29963140739142],[151.8346088384864],[151.29963140739142],[151.8346088384864],['ZLEMA cross_above None'],['ZLEMA cross_below None'],151.29963140739142,151.29963140739142
2023-02-16,152.1753387451172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.59467634060007],[152.7003069577776],[152.59467634060007],[152.7003069577776],['ZLEMA cross_above None'],['ZLEMA cross_below None'],152.59467634060007,152.59467634060007
2023-02-17,151.0269317626953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.0044394446884],[153.17757105021937],[153.0044394446884],[153.17757105021937],['ZLEMA cross_above None'],['ZLEMA cross_below None'],153.0044394446884,153.0044394446884
2023-02-21,146.99757385253906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.410889353005],[153.66272149563113],[152.410889353005],[153.66272149563113],['ZLEMA cross_above None'],['ZLEMA cross_below None'],152.410889353005,152.410889353005
2023-02-22,147.42327880859375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.57703802177681],[153.51438527861208],[150.57703802177681],[153.51438527861208],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.57703802177681,150.57703802177681
2023-02-23,147.90838623046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.8480098019083],[153.3578460963856],[148.8480098019083],[153.3578460963856],['ZLEMA cross_above None'],['ZLEMA cross_below None'],148.8480098019083,148.8480098019083
2023-02-24,145.24525451660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[147.90135960443774],[152.93025564447666],[147.90135960443774],[152.93025564447666],['ZLEMA cross_above None'],['ZLEMA cross_below None'],147.90135960443774,147.90135960443774
2023-02-27,146.4431610107422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.36721736190503],[151.95193077017325],[146.36721736190503],[151.95193077017325],['ZLEMA cross_above None'],['ZLEMA cross_below None'],146.36721736190503,146.36721736190503
2023-02-28,145.93826293945312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.28022296318508],[151.36794862497055],[146.28022296318508],[151.36794862497055],['ZLEMA cross_above None'],['ZLEMA cross_below None'],146.28022296318508,146.28022296318508
2023-03-01,143.8592071533203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.94804552811732],[150.57027142506067],[145.94804552811732],[150.57027142506067],['ZLEMA cross_above None'],['ZLEMA cross_below None'],145.94804552811732,145.94804552811732
2023-03-02,144.45323181152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.83204235503632],[149.72989774409658],[144.83204235503632],[149.72989774409658],['ZLEMA cross_above None'],['ZLEMA cross_below None'],144.83204235503632,144.83204235503632
2023-03-03,149.52212524414062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.61916358256522],[149.08735547374914],[144.61916358256522],[149.08735547374914],['ZLEMA cross_above None'],['ZLEMA cross_below None'],144.61916358256522,144.61916358256522
2023-03-06,152.29415893554688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.07042283619683],[149.11668392132228],[146.07042283619683],[149.11668392132228],['ZLEMA cross_above None'],['ZLEMA cross_below None'],146.07042283619683,146.07042283619683
2023-03-07,150.08644104003906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.35762867173204],[149.32040549324554],[148.35762867173204],[149.32040549324554],['ZLEMA cross_above None'],['ZLEMA cross_below None'],148.35762867173204,148.35762867173204
2023-03-08,151.34373474121094,0,[True],[False],BUY. Shares: 39,Entry conditions met: True,{},"{'order_size': 39, 'order_price': None, 'order_valid': None, 'order_status': 1}",[149.80418253628216],[149.2676336166652],[149.80418253628216],[149.2676336166652],['ZLEMA cross_above None'],['ZLEMA cross_below None'],149.80418253628216,149.80418253628216
2023-03-09,149.0865020751953,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.3369198334851],[149.24445045931483],[151.3369198334851],[149.24445045931483],['ZLEMA cross_above None'],['ZLEMA cross_below None'],151.3369198334851,151.3369198334851
2023-03-10,147.0173797607422,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.84854875580598],[149.0349804558283],[150.84854875580598],[149.0349804558283],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.84854875580598,150.84854875580598
2023-03-13,148.96771240234375,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.19255817946626],[148.64613189472902],[149.19255817946626],[148.64613189472902],['ZLEMA cross_above None'],['ZLEMA cross_below None'],149.19255817946626,149.19255817946626
2023-03-14,151.06655883789062,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.94827192222664],[148.79398473714318],[148.94827192222664],[148.79398473714318],['ZLEMA cross_above None'],['ZLEMA cross_below None'],148.94827192222664,148.94827192222664
2023-03-15,151.46255493164062,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.2830193790164],[149.17565274553314],[149.2830193790164],[149.17565274553314],['ZLEMA cross_above None'],['ZLEMA cross_below None'],149.2830193790164,149.2830193790164
2023-03-16,154.2939910888672,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.1113081806654],[149.55249602858342],[150.1113081806654],[149.55249602858342],['ZLEMA cross_above None'],['ZLEMA cross_below None'],150.1113081806654,150.1113081806654
2023-03-17,153.45248413085938,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.1948162236339],[150.4421883919737],[152.1948162236339],[150.4421883919737],['ZLEMA cross_above None'],['ZLEMA cross_below None'],152.1948162236339,152.1948162236339
2023-03-20,155.82847595214844,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.238896157405],[151.0886154151352],[153.238896157405],[151.0886154151352],['ZLEMA cross_above None'],['ZLEMA cross_below None'],153.238896157405,153.238896157405
