date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ZLEMA,exit0_ZLEMA
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.78288954273658],[74.45359649658204],[71.78288954273658],[74.45359649658204],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.78288954273658,71.78288954273658
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.05293834569072],[73.6130100865518],[71.05293834569072],[73.6130100865518],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.05293834569072,71.05293834569072
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.85710880183643],[72.2039876836644],[68.85710880183643],[72.2039876836644],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.85710880183643,68.85710880183643
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.1600748817227],[71.41381273245646],[68.1600748817227],[71.41381273245646],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.1600748817227,68.1600748817227
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.14854432128519],[70.41628206599759],[67.14854432128519],[70.41628206599759],['ZLEMA cross_above None'],['ZLEMA cross_below None'],67.14854432128519,67.14854432128519
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[64.09224493652026],[68.74489390851387],[64.09224493652026],[68.74489390851387],['ZLEMA cross_above None'],['ZLEMA cross_below None'],64.09224493652026,64.09224493652026
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[65.22476650923035],[68.34541401941243],[65.22476650923035],[68.34541401941243],['ZLEMA cross_above None'],['ZLEMA cross_below None'],65.22476650923035,65.22476650923035
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[62.14981451074812],[67.01007057539918],[62.14981451074812],[67.01007057539918],['ZLEMA cross_above None'],['ZLEMA cross_below None'],62.14981451074812,62.14981451074812
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[61.01103930939761],[66.02281709321618],[61.01103930939761],[66.02281709321618],['ZLEMA cross_above None'],['ZLEMA cross_below None'],61.01103930939761,61.01103930939761
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[60.73322400127915],[65.2049387726861],[60.73322400127915],[65.2049387726861],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.73322400127915,60.73322400127915
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[59.02690140232498],[64.3831497462099],[59.02690140232498],[64.3831497462099],['ZLEMA cross_above None'],['ZLEMA cross_below None'],59.02690140232498,59.02690140232498
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.83731924261603],[62.729307089164855],[57.83731924261603],[62.729307089164855],['ZLEMA cross_above None'],['ZLEMA cross_below None'],57.83731924261603,57.83731924261603
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[55.9643464313254],[61.17824884843875],[55.9643464313254],[61.17824884843875],['ZLEMA cross_above None'],['ZLEMA cross_below None'],55.9643464313254,55.9643464313254
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[56.69147931117675],[60.22201133452738],[56.69147931117675],[60.22201133452738],['ZLEMA cross_above None'],['ZLEMA cross_below None'],56.69147931117675,56.69147931117675
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[57.2497816512167],[59.43862979508333],[57.2497816512167],[59.43862979508333],['ZLEMA cross_above None'],['ZLEMA cross_below None'],57.2497816512167,57.2497816512167
2020-03-27,60.121299743652344,0,[True],[False],BUY. Shares: 50,Entry conditions met: True,{},"{'order_size': 50, 'order_price': None, 'order_valid': None, 'order_status': 1}",[59.53240233355052],[59.171260821566115],[59.53240233355052],[59.171260821566115],['ZLEMA cross_above None'],['ZLEMA cross_below None'],59.53240233355052,59.53240233355052
2020-03-30,61.8370361328125,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[60.67063927943018],[58.944000109697186],[60.67063927943018],[58.944000109697186],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.67063927943018,60.67063927943018
2020-03-31,61.710845947265625,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[61.2326079522575],[58.65264781557358],[61.2326079522575],[58.65264781557358],['ZLEMA cross_above None'],['ZLEMA cross_below None'],61.2326079522575,61.2326079522575
2020-04-01,58.46380615234375,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[61.70652181844861],[58.51896760509933],[61.70652181844861],[58.51896760509933],['ZLEMA cross_above None'],['ZLEMA cross_below None'],61.70652181844861,61.70652181844861
2020-04-02,59.439369201660156,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[60.34345318193558],[58.40080200592331],[60.34345318193558],[58.40080200592331],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.34345318193558,60.34345318193558
2020-04-03,58.58515167236328,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[60.05508690515964],[57.95050779652529],[60.05508690515964],[57.95050779652529],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.05508690515964,60.05508690515964
2020-04-06,63.695960998535156,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[59.19657423366044],[57.978928050202086],[59.19657423366044],[57.978928050202086],['ZLEMA cross_above None'],['ZLEMA cross_below None'],59.19657423366044,59.19657423366044
2020-04-07,62.958213806152344,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[60.37557456386848],[58.498229651786204],[60.37557456386848],[58.498229651786204],['ZLEMA cross_above None'],['ZLEMA cross_below None'],60.37557456386848,60.37557456386848
2020-04-08,64.56962585449219,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[61.66231036315802],[58.985749952414416],[61.66231036315802],[58.985749952414416],['ZLEMA cross_above None'],['ZLEMA cross_below None'],61.66231036315802,61.66231036315802
2020-04-09,65.0355453491211,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[63.12368711664278],[59.679332441544815],[63.12368711664278],[59.679332441544815],['ZLEMA cross_above None'],['ZLEMA cross_below None'],63.12368711664278,63.12368711664278
2020-04-13,66.31205749511719,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[64.64409655468572],[60.63159164713378],[64.64409655468572],[60.63159164713378],['ZLEMA cross_above None'],['ZLEMA cross_below None'],64.64409655468572,64.64409655468572
2020-04-14,69.6610107421875,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[65.42301608868817],[61.76337418853279],[65.42301608868817],[61.76337418853279],['ZLEMA cross_above None'],['ZLEMA cross_below None'],65.42301608868817,65.42301608868817
2020-04-15,69.02518463134766,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[67.41225092314899],[62.901828511771356],[67.41225092314899],[62.901828511771356],['ZLEMA cross_above None'],['ZLEMA cross_below None'],67.41225092314899,67.41225092314899
2020-04-16,69.57365417480469,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[68.51561319315883],[63.9060854842037],[68.51561319315883],[63.9060854842037],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.51561319315883,68.51561319315883
2020-04-17,68.62963104248047,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[69.53309497630963],[64.71403741183887],[69.53309497630963],[64.71403741183887],['ZLEMA cross_above None'],['ZLEMA cross_below None'],69.53309497630963,69.53309497630963
2020-04-20,67.20510864257812,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[69.79020581513402],[65.51558095567563],[69.79020581513402],[65.51558095567563],['ZLEMA cross_above None'],['ZLEMA cross_below None'],69.79020581513402,69.79020581513402
2020-04-21,65.12776947021484,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[68.87366049292214],[65.97091000062197],[68.87366049292214],[65.97091000062197],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.87366049292214,68.87366049292214
2020-04-22,67.00371551513672,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[67.48396845949667],[66.13696051626985],[67.48396845949667],[66.13696051626985],['ZLEMA cross_above None'],['ZLEMA cross_below None'],67.48396845949667,67.48396845949667
2020-04-23,66.74402618408203,50,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[66.92938816785522],[66.74384208798985],[66.92938816785522],[66.74384208798985],['ZLEMA cross_above None'],['ZLEMA cross_below None'],66.92938816785522,66.92938816785522
2020-04-24,68.67088317871094,50,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -50, 'order_price': None, 'order_valid': None, 'order_status': 1}",[66.55284874200584],[67.2151221575714],[66.55284874200584],[67.2151221575714],['ZLEMA cross_above None'],['ZLEMA cross_below None'],66.55284874200584,66.55284874200584
2020-04-27,68.71939849853516,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[67.2044503734309],[67.95973457869961],[67.2044503734309],[67.95973457869961],['ZLEMA cross_above None'],['ZLEMA cross_below None'],67.2044503734309,67.2044503734309
2020-04-28,67.60552215576172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.13291894678082],[68.33283789610836],[68.13291894678082],[68.33283789610836],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.13291894678082,68.13291894678082
2020-04-29,69.82601928710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[68.14644801034552],[68.58574064509305],[68.14644801034552],[68.58574064509305],['ZLEMA cross_above None'],['ZLEMA cross_below None'],68.14644801034552,68.14644801034552
2020-04-30,71.29907989501953,0,[True],[False],BUY. Shares: 46,Entry conditions met: True,{},"{'order_size': 46, 'order_price': None, 'order_valid': None, 'order_status': 1}",[69.01218698848938],[69.00488077894038],[69.01218698848938],[69.00488077894038],['ZLEMA cross_above None'],['ZLEMA cross_below None'],69.01218698848938,69.01218698848938
2020-05-01,70.15122985839844,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[69.90583964718734],[69.55699262810023],[69.90583964718734],[69.55699262810023],['ZLEMA cross_above None'],['ZLEMA cross_below None'],69.90583964718734,69.90583964718734
2020-05-04,71.14378356933594,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[70.21078902374632],[69.84301905349245],[70.21078902374632],[69.84301905349245],['ZLEMA cross_above None'],['ZLEMA cross_below None'],70.21078902374632,70.21078902374632
2020-05-05,72.21157836914062,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.0237446526852],[70.02260210787902],[71.0237446526852],[70.02260210787902],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.0237446526852,71.0237446526852
2020-05-06,72.95658874511719,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[71.67345243422822],[70.36940017233415],[71.67345243422822],[70.36940017233415],['ZLEMA cross_above None'],['ZLEMA cross_below None'],71.67345243422822,71.67345243422822
2020-05-07,73.71131896972656,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[72.20811519077125],[70.75456940737257],[72.20811519077125],[70.75456940737257],['ZLEMA cross_above None'],['ZLEMA cross_below None'],72.20811519077125,72.20811519077125
2020-05-08,75.46578979492188,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[73.12871389809551],[71.27317827766936],[73.12871389809551],[71.27317827766936],['ZLEMA cross_above None'],['ZLEMA cross_below None'],73.12871389809551,73.12871389809551
2020-05-11,76.65325164794922,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[74.33945610217047],[72.07661651441751],[74.33945610217047],[72.07661651441751],['ZLEMA cross_above None'],['ZLEMA cross_below None'],74.33945610217047,74.33945610217047
2020-05-12,75.7772445678711,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[75.56772316118635],[73.1154627925637],[75.56772316118635],[73.1154627925637],['ZLEMA cross_above None'],['ZLEMA cross_below None'],75.56772316118635,75.56772316118635
2020-05-13,74.8623046875,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[76.11866447562974],[73.85322478146963],[76.11866447562974],[73.85322478146963],['ZLEMA cross_above None'],['ZLEMA cross_below None'],76.11866447562974,76.11866447562974
2020-05-14,75.32223510742188,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[76.09950555374678],[74.44208661433728],[76.09950555374678],[74.44208661433728],['ZLEMA cross_above None'],['ZLEMA cross_below None'],76.09950555374678,76.09950555374678
2020-05-15,74.87689971923828,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[75.93208280214225],[74.92798986735636],[75.93208280214225],[74.92798986735636],['ZLEMA cross_above None'],['ZLEMA cross_below None'],75.93208280214225,75.93208280214225
2020-05-18,76.6410903930664,46,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[75.4172582545759],[75.32195187203926],[75.4172582545759],[75.32195187203926],['ZLEMA cross_above None'],['ZLEMA cross_below None'],75.4172582545759,75.4172582545759
2020-05-19,76.19822692871094,46,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -46, 'order_price': None, 'order_valid': None, 'order_status': 1}",[75.79683606615514],[75.989997469351],[75.79683606615514],[75.989997469351],['ZLEMA cross_above None'],['ZLEMA cross_below None'],75.79683606615514,75.79683606615514
2020-05-20,77.68014526367188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.1127111759309],[76.41454179844528],[76.1127111759309],[76.41454179844528],['ZLEMA cross_above None'],['ZLEMA cross_below None'],76.1127111759309,76.1127111759309
2020-05-21,77.10101318359375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.8264101293838],[76.90787527159877],[76.8264101293838],[76.90787527159877],['ZLEMA cross_above None'],['ZLEMA cross_below None'],76.8264101293838,76.8264101293838
2020-05-22,77.59740447998047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.28072222366842],[77.3687088998046],[77.28072222366842],[77.3687088998046],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.28072222366842,77.28072222366842
2020-05-26,77.07179260253906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.51217610425499],[77.79982609276077],[77.51217610425499],[77.79982609276077],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.51217610425499,77.51217610425499
2020-05-27,77.4075927734375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.59093649918448],[78.06641839877217],[77.59093649918448],[78.06641839877217],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.59093649918448,77.59093649918448
2020-05-28,77.4416732788086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.50804627809696],[78.31107506993254],[77.50804627809696],[78.31107506993254],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.50804627809696,77.50804627809696
2020-05-29,77.3662338256836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.5579166591745],[78.4956526517363],[77.5579166591745],[78.4956526517363],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.5579166591745,77.5579166591745
2020-06-01,78.31767272949219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.48103420684944],[78.54539621333043],[77.48103420684944],[78.54539621333043],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.48103420684944,77.48103420684944
2020-06-02,78.68026733398438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.85967396132142],[78.63808638092429],[77.85967396132142],[78.63808638092429],['ZLEMA cross_above None'],['ZLEMA cross_below None'],77.85967396132142,77.85967396132142
2020-06-03,79.11338806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.24026813099593],[78.82809952409677],[78.24026813099593],[78.82809952409677],['ZLEMA cross_above None'],['ZLEMA cross_below None'],78.24026813099593,78.24026813099593
2020-06-04,78.43204498291016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.70296535158545],[79.1207686796742],[78.70296535158545],[79.1207686796742],['ZLEMA cross_above None'],['ZLEMA cross_below None'],78.70296535158545,78.70296535158545
2020-06-05,80.66586303710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.84749094950386],[79.276967787979],[78.84749094950386],[79.276967787979],['ZLEMA cross_above None'],['ZLEMA cross_below None'],78.84749094950386,78.84749094950386
2020-06-08,81.14280700683594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.60504774863526],[79.74005543746297],[79.60504774863526],[79.74005543746297],['ZLEMA cross_above None'],['ZLEMA cross_below None'],79.60504774863526,79.60504774863526
2020-06-09,83.70513916015625,0,[True],[False],BUY. Shares: 42,Entry conditions met: True,{},"{'order_size': 42, 'order_price': None, 'order_valid': None, 'order_status': 1}",[80.3323748270084],[80.12098886863346],[80.3323748270084],[80.12098886863346],['ZLEMA cross_above None'],['ZLEMA cross_below None'],80.3323748270084,80.3323748270084
2020-06-10,85.85867309570312,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[81.78046854187761],[80.83654128947012],[81.78046854187761],[80.83654128947012],['ZLEMA cross_above None'],['ZLEMA cross_below None'],81.78046854187761,81.78046854187761
2020-06-11,81.73654174804688,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[83.8722562994446],[81.6881967500033],[83.8722562994446],[81.6881967500033],['ZLEMA cross_above None'],['ZLEMA cross_below None'],83.8722562994446,83.8722562994446
2020-06-12,82.44223022460938,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[83.67861341936093],[81.99038214113212],[83.67861341936093],[81.99038214113212],['ZLEMA cross_above None'],['ZLEMA cross_below None'],83.67861341936093,83.67861341936093
2020-06-15,83.46177673339844,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[83.69007524172854],[82.332103033268],[83.69007524172854],[82.332103033268],['ZLEMA cross_above None'],['ZLEMA cross_below None'],83.69007524172854,83.69007524172854
2020-06-16,85.67372131347656,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[83.60431870807618],[82.81724224817057],[83.60431870807618],[82.81724224817057],['ZLEMA cross_above None'],['ZLEMA cross_below None'],83.60431870807618,83.60431870807618
2020-06-17,85.55448150634766,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[83.94694613047142],[83.5348298356122],[83.94694613047142],[83.5348298356122],['ZLEMA cross_above None'],['ZLEMA cross_below None'],83.94694613047142,83.94694613047142
2020-06-18,85.58856964111328,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[84.93339615486722],[84.18853692582346],[84.93339615486722],[84.18853692582346],['ZLEMA cross_above None'],['ZLEMA cross_below None'],84.93339615486722,84.93339615486722
2020-06-19,85.09944152832031,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.62458031900358],[84.80933489554731],[85.62458031900358],[84.80933489554731],['ZLEMA cross_above None'],['ZLEMA cross_below None'],85.62458031900358,85.62458031900358
2020-06-22,87.32598114013672,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[85.82685777431969],[85.26558492339255],[85.82685777431969],[85.26558492339255],['ZLEMA cross_above None'],['ZLEMA cross_below None'],85.82685777431969,85.82685777431969
2020-06-23,89.18993377685547,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[86.39983653658825],[85.9563016990633],[86.39983653658825],[85.9563016990633],['ZLEMA cross_above None'],['ZLEMA cross_below None'],86.39983653658825,86.39983653658825
2020-06-24,87.61554718017578,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[87.56811826582006],[86.81502284700682],[87.56811826582006],[86.81502284700682],['ZLEMA cross_above None'],['ZLEMA cross_below None'],87.56811826582006,87.56811826582006
2020-06-25,88.7786865234375,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[87.94528307553246],[87.45915359090583],[87.94528307553246],[87.45915359090583],['ZLEMA cross_above None'],['ZLEMA cross_below None'],87.94528307553246,87.94528307553246
2020-06-26,86.05088806152344,42,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[88.7657646106274],[88.06769271470324],[88.7657646106274],[88.06769271470324],['ZLEMA cross_above None'],['ZLEMA cross_below None'],88.7657646106274,88.7657646106274
2020-06-29,88.0340576171875,42,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -42, 'order_price': None, 'order_valid': None, 'order_status': 1}",[88.04031558740608],[88.25422667609084],[88.04031558740608],[88.25422667609084],['ZLEMA cross_above None'],['ZLEMA cross_below None'],88.04031558740608,88.04031558740608
2020-06-30,88.76895904541016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[87.82901847288126],[88.51930728242168],[87.82901847288126],[88.51930728242168],['ZLEMA cross_above None'],['ZLEMA cross_below None'],87.82901847288126,87.82901847288126
2020-07-01,88.6010513305664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[88.20962800702003],[88.72317423162785],[88.20962800702003],[88.72317423162785],['ZLEMA cross_above None'],['ZLEMA cross_below None'],88.20962800702003,88.20962800702003
2020-07-02,88.6010513305664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[88.24849857623371],[89.15816692075418],[88.24849857623371],[89.15816692075418],['ZLEMA cross_above None'],['ZLEMA cross_below None'],88.24849857623371,88.24849857623371
2020-07-06,90.97114562988281,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[88.77626512593838],[89.51956727661027],[88.77626512593838],[89.51956727661027],['ZLEMA cross_above None'],['ZLEMA cross_below None'],88.77626512593838,88.77626512593838
2020-07-07,90.68888092041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[89.70935031078196],[90.09769290562684],[89.70935031078196],[90.09769290562684],['ZLEMA cross_above None'],['ZLEMA cross_below None'],89.70935031078196,89.70935031078196
2020-07-08,92.801025390625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[90.23652348980526],[90.45939275218923],[90.23652348980526],[90.45939275218923],['ZLEMA cross_above None'],['ZLEMA cross_below None'],90.23652348980526,90.23652348980526
2020-07-09,93.2000961303711,0,[True],[False],BUY. Shares: 40,Entry conditions met: True,{},"{'order_size': 40, 'order_price': None, 'order_valid': None, 'order_status': 1}",[91.46642820996496],[91.07798478591266],[91.46642820996496],[91.07798478591266],['ZLEMA cross_above None'],['ZLEMA cross_below None'],91.46642820996496,91.46642820996496
2020-07-10,93.36311340332031,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[92.61783052273056],[91.70596142034599],[92.61783052273056],[91.70596142034599],['ZLEMA cross_above None'],['ZLEMA cross_below None'],92.61783052273056,92.61783052273056
2020-07-13,92.93242645263672,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[93.1882397325537],[92.34601457247336],[93.1882397325537],[92.34601457247336],['ZLEMA cross_above None'],['ZLEMA cross_below None'],93.1882397325537,93.1882397325537
2020-07-14,94.47029876708984,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[93.54964559660998],[92.74555374619358],[93.54964559660998],[92.74555374619358],['ZLEMA cross_above None'],['ZLEMA cross_below None'],93.54964559660998,93.54964559660998
2020-07-15,95.1200180053711,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[94.0205413324181],[93.19749632755686],[94.0205413324181],[93.19749632755686],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.0205413324181,94.0205413324181
2020-07-16,93.9495620727539,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[94.56952288659137],[93.80568939226717],[94.56952288659137],[93.80568939226717],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.56952288659137,94.56952288659137
2020-07-17,93.75977325439453,40,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[94.56342976942703],[94.14857637483512],[94.56342976942703],[94.14857637483512],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.56342976942703,94.56342976942703
2020-07-20,95.73566436767578,40,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -40, 'order_price': None, 'order_valid': None, 'order_status': 1}",[94.56773709428617],[94.62083973434677],[94.56773709428617],[94.62083973434677],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.56773709428617,94.56773709428617
2020-07-21,94.41435241699219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[95.01015398046354],[95.18964175910918],[95.01015398046354],[95.18964175910918],['ZLEMA cross_above None'],['ZLEMA cross_below None'],95.01015398046354,95.01015398046354
2020-07-22,94.6795883178711,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.77352358921804],[95.50384201907468],[94.77352358921804],[95.50384201907468],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.77352358921804,94.77352358921804
2020-07-23,90.3701171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.88917649353989],[95.84282803753281],[94.88917649353989],[95.84282803753281],['ZLEMA cross_above None'],['ZLEMA cross_below None'],94.88917649353989,94.88917649353989
2020-07-24,90.14624786376953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[93.45122824391545],[95.60388319926835],[93.45122824391545],[95.60388319926835],['ZLEMA cross_above None'],['ZLEMA cross_below None'],93.45122824391545,93.45122824391545
2020-07-27,92.28271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[91.83406517408778],[95.19855848303531],[91.83406517408778],[95.19855848303531],['ZLEMA cross_above None'],['ZLEMA cross_below None'],91.83406517408778,91.83406517408778
2020-07-28,90.76676177978516,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[91.52806737343687],[95.11326753361948],[91.52806737343687],[95.11326753361948],['ZLEMA cross_above None'],['ZLEMA cross_below None'],91.52806737343687,91.52806737343687
2020-07-29,92.506591796875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[90.67822516766638],[94.70160499396307],[90.67822516766638],[94.70160499396307],['ZLEMA cross_above None'],['ZLEMA cross_below None'],90.67822516766638,90.67822516766638
2020-07-30,93.62594604492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[91.39910539286339],[94.51524902424798],[91.39910539286339],[94.51524902424798],['ZLEMA cross_above None'],['ZLEMA cross_below None'],91.39910539286339,91.39910539286339
2020-07-31,103.42752075195312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[92.43665790799264],[94.47483158310446],[92.43665790799264],[94.47483158310446],['ZLEMA cross_above None'],['ZLEMA cross_below None'],92.43665790799264,92.43665790799264
2020-08-03,106.03365325927734,0,[True],[False],BUY. Shares: 35,Entry conditions met: True,{},"{'order_size': 35, 'order_price': None, 'order_valid': None, 'order_status': 1}",[96.46132495384056],[95.72952729072802],[96.46132495384056],[95.72952729072802],['ZLEMA cross_above None'],['ZLEMA cross_below None'],96.46132495384056,96.46132495384056
2020-08-04,106.74174499511719,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[100.97754673291854],[97.1403324817433],[100.97754673291854],[97.1403324817433],['ZLEMA cross_above None'],['ZLEMA cross_below None'],100.97754673291854,100.97754673291854
2020-08-05,107.128662109375,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[104.6137924529987],[98.50956728839621],[104.6137924529987],[98.50956728839621],['ZLEMA cross_above None'],['ZLEMA cross_below None'],104.6137924529987,104.6137924529987
2020-08-06,110.86629486083984,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[107.52608076587677],[99.91590244049944],[107.52608076587677],[99.91590244049944],['ZLEMA cross_above None'],['ZLEMA cross_below None'],107.52608076587677,107.52608076587677
2020-08-07,108.34567260742188,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[109.48589680294036],[101.72602592609853],[109.48589680294036],[101.72602592609853],['ZLEMA cross_above None'],['ZLEMA cross_below None'],109.48589680294036,109.48589680294036
